NewId;OldId;DE;LOD;DIST;KontenNr
wzg.aqq45b_sbg_w10_10.m.de;;10;3153;25;807193
wzg.wzg_95_2434_mch_led2_73.m.de;;73;37133;50;9506098
wzg.cluster_aq_99_as5_200_sz_193.m.de;;193;38695;140;9906060
wzg.wzg_99_31800_sbg_c2_106.m.de;;106;38743;144;9918352
wzg.wzgaq10-mch_rgr_161.m.de;;161;36781;110;9416046
wzg.wzg_b2n_006434_gap_dlz2_42.m.de;;42;809;156;207260
wzg.wzg9-788-mch_b2_99.m.de;WZG_AQ9_788_Mch_99;99;35669;236;9131500
wzg.aqq37_sbg_b1_70.m.de;;70;3152;248;807160
wzg.wzg92-588-mch_w9_42.m.de;WWQ_92588_42;42;36001;173;9216429
wzg.aq_a7_953_247_fue_b1_97.m.de;;97;2811;52;719668
wzg.wzg_b2n_008531_mch_dlz1_9.m.de;;9;848;205;217293
wzg.wzg_9_481250_nbg_b1_65.m.de;WZG_AQ_9_481250_Nbg_65;65;3545;103;907623
aq.aq_b2n_006052_mch.m.de;;0;848;166;217254
wzg.wzg_96_160143_lin_dlz3_34.m.de;;34;37576;246;9619702
wzg.wzgaq14-pas_a1_1.m.de;;1;36742;163;9406115
wzg.wzg9-793-mch_w3_39.m.de;;39;35669;202;9131466
wzg.wzg_96_159021_lin_dlz3_gv_3.m.de;;3;37576;221;9619677
wzg.wzg_96_159650_lin_dlz1_177.m.de;;177;37576;234;9619690
wzg.wzg99-810a-l-stg_c1_134.m.de;;134;38741;14;9917710
wzg.cluster_aqaq202e-mch_195.m.de;;195;36791;253;9418749
wzg.cluster_aq_96_143619_mch_194.m.de;;194;37575;120;9619320
wzg.cluster_aq_a7_962_404_ulm_194.m.de;;194;2773;71;709959
wzg.wzg9-782-mch_a1_33.m.de;WZG_AQ9_782_Mch_33;33;35669;175;9131439
wzg.hs_b2n_009000_mch_hs2_130.m.de;;130;848;211;217299
wzg.aqq257_mch_c1_105.m.de;;105;3162;109;809581
aq.aqb28a_mch_h.m.de;;0;3191;209;817105
wzg.wzg_96_139252_mch_b1_65.m.de;;65;37575;19;9619219
wzg.wzg_95_2434_mch_pw6_6.m.de;;6;37133;50;9506098
wzg.wzg_9_494840_nbg_b2_66.m.de;WZG_AQ_9_494840_Nbg_66;66;3547;252;908284
wzg.wzg9-793-mch_bl1_36.m.de;;36;35669;202;9131466
wzg.cluster_aqq221_mch_h_193.m.de;;193;3199;124;819068
wzg.wzg99-250-sbg_b3_99.m.de;;99;38706;131;9908867
wzg.wzg99-063-stg_w2_35.m.de;WWQ_99063_35;35;38701;165;9907621
wzg.aq_94_108895_mch_a1_33.m.de;;33;36791;7;9418503
wzg.wzg99-200-sbg_w8_40.m.de;AQ99-200-Sbg_40;40;38705;151;9908631
wzg.wzg_96_162376_mch_pw5_5.m.de;;5;37524;230;9606374
wzg.cluster_aq9-135-nbg_196.m.de;AQ_AQ9_135_Nbg_P_196;196;35279;126;9031550
wzg.aqq285_mch_c1_105.m.de;;105;3202;201;819913
wzg.wzg_b2n_007199_mch_lsa_gv_171.m.de;;171;848;188;217276
aq.aq9-790-mch.m.de;;0;35670;25;9131545
aq.aq9-166-nbg.m.de;;0;35279;46;9031470
wzg.wzg9-155-nbg_a2_2.m.de;WZG_AQ9_155_Nbg_2;2;35279;93;9031517
