AB_EAID4Vergleich	BAB	FAHRTRICHTUNG	BABKM	TYP	ID	NAME	LOC	DIST	FG	DE	PORT	SLAVE	EAK	EA	KOMMENTAR	TLSTYP	EAID	HERSTELLER	IFACEKEY	MAKRO	FAHRSTREIFEN	WZGTYP	LATITUDE	LONGITUDE	AB_ID	AB_4ID	AB_ROUTE	AB_ANZEIGEPRINZIP	AB_STEUERUNG	AB_ZS	AB_FAHRTRICHTUNG	AB_TLSTYP	AB_FAHRBAHNBREITE	AB_AQTYP	AB_ASPICT	AB_ASFLIP	AB_ENDE	Quelldatei	Tabellenblatt	Status	CSV-Filter	a	b	c	d	e	f	g	h	i	j	k	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
																																												FS-Bezug	FS-Bezug	WVZ-Typ	Anschluss-Nr.		Beschriftung    für BuV Oberfläche	Fa.-Ri    (N,S,O,W)	WGS 84 (rechter FB-Rand)						Logische Adressen			Physikalische Adresse							
591856403394	A9	N	514,000		WS_GMA_HK_9_350_Nbg	WS_GMA_HK_9-350-Nbg	35277	100	3	194	200	5	33					6							WS_GMA_HK_9_350_Nbg						N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A9-Mch-Nbg	514000	GMA	WS_GMA_HK_9-350-Nbg											
591856403201	A9	N	514,000		WUD_HK_9_350_Nbg	WUD_HK_9-350-Nbg	35277	100	3	1	200	5	33	1				6							WUD_HK_9_350_Nbg						N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6							WUD_HK	WUD_HK_9-350-Nbg		3	1			33	1				
591856402432	A9	N	514,000			0	35277	100					0	0				6													N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6																			
591859154944	A9	N	514,860	SS	SST9_330	SST9-330	35277	142			200	6						6					48.299256	11.631854	SST9_330						N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A9-Mch-Nbg	514860	SST	SST9-330	9031054,89CD8E			200	6						
591859155394	A9	N	514,830		MQ9_330_Nbg_E	MQ9-330-Nbg_E	35277	142	1	194	200	6	32		Radarsensoren			6							MQ9_330_Nbg_E						N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A9-Mch-Nbg	514830	MQx	MQ9-330-Nbg_E								Radarsensoren			
591859155329	A9	N	514,830		MQ9_330_Nbg_E	MQ9-330-Nbg_E	35277	142	1	129	200	6	32	1				6							MQ9_330_Nbg_E						N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6							DET	DET9-330-Nbg_E1		1	129			32	1				
591859155394	A9	N	514,830		MQ9_330_Nbg_A	MQ9-330-Nbg_A	35277	142	1	194	200	6	32		Radarsensoren			6							MQ9_330_Nbg_A						N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A9-Mch-Nbg	514830	MQx	MQ9-330-Nbg_A								Radarsensoren			
591859155265	A9	N	514,830		MQ9_330_Nbg_A	MQ9-330-Nbg_A	35277	142	1	65	200	6	32	2				6							MQ9_330_Nbg_A						N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6							DET	DET9-330-Nbg_A1		1	65			32	2				
591859155266	A9	N	514,830		MQ9_330_Nbg_A	MQ9-330-Nbg_A	35277	142	1	66	200	6	32	3				6							MQ9_330_Nbg_A						N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6							DET	DET9-330-Nbg_A2		1	66			32	3				
591859156162	A9	N	514,800	AQ	AQ9_330_Nbg	AQ9-330-Nbg	35277	142	4	194	200	6	33	0				6					48.299256	11.631854	AQ9_330_Nbg_194	194					N/O	194		1sp_BT				Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A9-Mch-Nbg	514800	AQx	AQ9-330-Nbg							0				
